[18:29:01][INFO](lu.pcy113.pdr.client.ClientMain#main@22) Starting
[18:29:01][FINEST](lu.pcy113.pdr.client.game.PDRClientGame#<init>@29) <- lu.pcy113.pdr.client.ClientMain#main@31
[18:29:02][FINEST](lu.pcy113.pdr.engine.GameEngine#<init>@35) <- lu.pcy113.pdr.client.ClientMain#main@32
[18:29:02][FINEST](lu.pcy113.pdr.engine.scene.geom.Mesh#<init>@24) <- lu.pcy113.pdr.engine.utils.ObjLoader#loadMesh@90
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#<init>@22) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#create@118
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createShader@95) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#lambda$0@30
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createShader@95) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#lambda$0@30
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#link@74) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#<init>@32
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#<init>@19) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#<init>@34
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.Compositor#<init>@29
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.renderer.Renderer#<init>@18) <- lu.pcy113.pdr.engine.graph.renderer.Scene3DRenderer#<init>@16
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.renderer.Renderer#<init>@18) <- lu.pcy113.pdr.engine.graph.renderer.ModelRenderer#<init>@13
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.renderer.Renderer#<init>@18) <- lu.pcy113.pdr.engine.graph.renderer.ModelInstanceRenderer#<init>@14
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.renderer.Renderer#<init>@18) <- lu.pcy113.pdr.engine.graph.renderer.Scene3DRenderer#<init>@16
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.renderer.Renderer#<init>@18) <- lu.pcy113.pdr.engine.graph.renderer.ModelRenderer#<init>@13
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.renderer.Renderer#<init>@18) <- lu.pcy113.pdr.engine.graph.renderer.ModelInstanceRenderer#<init>@14
[18:29:02][FINEST](lu.pcy113.pdr.engine.scene.Scene#<init>@19) <- lu.pcy113.pdr.engine.scene.Scene3D#<init>@18
[18:29:02][FINEST](lu.pcy113.pdr.engine.scene.Scene#<init>@19) <- lu.pcy113.pdr.engine.scene.Scene3D#<init>@18
[18:29:02][FINEST](lu.pcy113.pdr.engine.scene.geom.Mesh#<init>@24) <- lu.pcy113.pdr.engine.utils.ObjLoader#loadMesh@90
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#<init>@22) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#create@118
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createShader@95) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#lambda$0@30
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createShader@95) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#lambda$0@30
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#link@74) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#<init>@32
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#<init>@19) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#<init>@34
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:29:02][FINEST](lu.pcy113.pdr.client.game.PDRClientGame#init@39) <- lu.pcy113.pdr.engine.GameEngine#<init>@61
[18:29:02][FINEST](lu.pcy113.pdr.engine.scene.geom.Mesh#<init>@24) <- lu.pcy113.pdr.client.game.PDRClientGame#init@137
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.TextureCache#createTexture@26) <- lu.pcy113.pdr.client.game.PDRClientGame#init@139
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#<init>@22) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#create@118
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createShader@95) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#lambda$0@30
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createShader@95) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#lambda$0@30
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#link@74) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#<init>@32
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#<init>@19) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#<init>@34
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.Material#createUniforms@26
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:29:02][FINEST](lu.pcy113.pdr.engine.scene.geom.Mesh#<init>@24) <- lu.pcy113.pdr.engine.utils.ObjLoader#loadMesh@90
[18:29:02][FINEST](lu.pcy113.pdr.engine.scene.geom.Mesh#<init>@24) <- lu.pcy113.pdr.engine.scene.geom.MeshInstance#<init>@16
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#<init>@22) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#create@118
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createShader@95) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#lambda$0@30
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createShader@95) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#lambda$0@30
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#link@74) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#<init>@32
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#<init>@19) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#<init>@34
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.UniformsMap#createUniform@26) <- lu.pcy113.pdr.engine.graph.shader.ShaderProgram#createUniforms@42
[18:29:02][FINEST](lu.pcy113.pdr.engine.GameEngine#start@66) <- lu.pcy113.pdr.client.ClientMain#main@33
[18:29:02][FINEST](lu.pcy113.pdr.engine.GameEngine#run@79) <- lu.pcy113.pdr.engine.GameEngine#start@69
[18:29:02][FINEST](lu.pcy113.pdr.engine.GameEngine#resize@138) resized: 1858x1016
[18:29:02][FINEST](lu.pcy113.pdr.client.game.PDRClientGame#input@157) <- lu.pcy113.pdr.engine.GameEngine#run@109
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.renderer.Scene3DRenderer#render@29) <- lu.pcy113.pdr.engine.graph.renderer.Scene3DRenderer#render@1
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.renderer.Renderer#render@29) <- lu.pcy113.pdr.engine.graph.renderer.Scene3DRenderer#render@31
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.renderer.Renderer#render@29) <- lu.pcy113.pdr.engine.graph.renderer.ModelRenderer#render@17
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.renderer.ModelRenderer#render@22) Model: cube-model > Me1 & TPos( 0.000E+0  0.000E+0 -2.000E-2) & TRot( 0.000E+0  0.000E+0  0.000E+0  1.000E+0) & TSc( 1.000E+0  1.000E+0  1.000E+0)
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.renderer.ModelRenderer#render@24) Material: cube.png > Sh3
[18:29:02][FINEST](lu.pcy113.pdr.engine.graph.shader.ShaderProgram#bind@50) <- lu.pcy113.pdr.engine.graph.shader.Material#bind@32
